GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hilbert-curve,org.davidmoten.hilbert.exceptions,IORuntimeException,34,30,1,1,0,2,4,3,3,3
hilbert-curve,org.davidmoten.hilbert,Util,110,180,0,6,0,13,3,7,3,4
hilbert-curve,org.davidmoten.hilbert,SmallHilbertCurve.Builder,63,105,1,3,0,6,4,6,3,5
hilbert-curve,org.davidmoten.hilbert,SmallHilbertCurve.new Object() {...},27,0,2,0,0,0,5,0,4,0
hilbert-curve,org.davidmoten.hilbert,SmallHilbertCurve,226,473,1,13,0,25,4,13,3,7
hilbert-curve,org.davidmoten.hilbert,HilbertCurve.new Object() {...},27,0,2,0,0,0,5,0,4,0
hilbert-curve,org.davidmoten.hilbert,HilbertCurve.Builder,85,160,1,7,0,7,4,7,3,4
hilbert-curve,org.davidmoten.hilbert,HilbertCurveRenderer,233,408,0,4,2,28,3,7,3,5
hilbert-curve,org.davidmoten.hilbert,HilbertCurve,580,1378,0,38,0,66,3,31,3,12
